STwardcode,POLY_ID,O,E,SMR,RR.HET,resRR.HET,probaresRR.HET
00AAFA,1,2,6.085849912,0.328631174,0.8204534,0.8329684,0.17375
00AAFQ,2,11,11.01362776,0.998762646,0.997163775,1.012447325,0.49175
00AAFT,3,1,2.615588062,0.382323201,0.9225415,0.936509075,0.35375
00AAFX,4,4,2.830990854,1.412932858,1.077979975,1.09441005,0.6075
00ABFX,5,17,18.45363025,0.921227952,0.9547801,0.969365625,0.39925
00ABFY,6,35,27.61381637,1.267481449,1.180793425,1.19892445,0.87725
00ABFZ,7,34,26.49444005,1.283288114,1.18695945,1.205249625,0.88175
00ABGA,8,38,34.38198458,1.105229976,1.0725355,1.088938375,0.7035
00ABGB,9,38,32.77823348,1.159305916,1.1100442,1.127055375,0.78125
00ABGC,10,35,29.76383164,1.175923867,1.11685805,1.133985725,0.79225
00ABGD,11,34,20.35092599,1.670685649,1.4267387,1.44862115,0.99075
00ABGE,12,49,27.20880674,1.800887502,1.562697075,1.58675325,0.99875
00ABGF,13,28,31.72396808,0.882613421,0.9188273,0.9328769,0.299
00ABGG,14,22,29.55432497,0.744391896,0.832337325,0.845115175,0.12775
00ABGH,15,46,28.91876822,1.590662495,1.416152975,1.437903575,0.9955
00ABGJ,16,38,27.13001332,1.400662785,1.272801575,1.29236155,0.954
00ABGK,17,34,25.30501289,1.343607298,1.222633475,1.2413667,0.91725
00ABGL,18,33,20.82832611,1.584380801,1.36516955,1.386076525,0.97775
00ABGM,19,47,28.08221368,1.673657231,1.477803175,1.5004573,0.99775
00ABGN,20,40,26.95061619,1.484196121,1.33163495,1.35204865,0.975
00ABGP,21,28,27.3950177,1.022083662,1.01137925,1.026871675,0.5415
00ACFX,22,26,45.41254679,0.572529,0.691814125,0.7024463,0.007
00ACFY,23,43,34.08671617,1.261488487,1.1822759,1.200408925,0.902
00ACFZ,24,34,50.22816828,0.676911008,0.758857075,0.770499875,0.0235
00ACGA,25,28,29.87836032,0.937133086,0.9573865,0.972026125,0.40575
00ACGB,26,31,35.13551893,0.882298055,0.91789325,0.931930825,0.28925
00ACGC,27,31,43.48338385,0.712915998,0.793104225,0.80522075,0.05625
00ACGD,28,44,39.54626101,1.112620988,1.08157715,1.098191375,0.75375
00ACGE,29,41,45.90257105,0.893196156,0.916892325,0.930941975,0.27975
00ACGF,30,21,47.07757495,0.446072255,0.599874,0.60906865,5.00E-04
00ACGG,31,23,49.73274175,0.462471989,0.6051917,0.614460425,0.00025
00ACGH,32,32,44.24637403,0.723223105,0.796490675,0.8087313,0.0575
00ACGJ,33,40,47.06706393,0.849851184,0.88486195,0.898381325,0.18925
00ACGK,34,31,45.87564534,0.675739813,0.7609949,0.77266935,0.02775
00ACGL,35,35,46.7593837,0.748512859,0.808754575,0.821150575,0.0665
